Id,MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,8450,Reg,Lvl,Inside,Gtl,CollgCr,2Story,7,5,2003,2003,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,0,Attchd,2003.0,RFn,2,548,TA,Y,0,61,0,0,0,0,0,2,2008,WD,Normal,208500
2,20,RL,9600,Reg,Lvl,FR2,Gtl,Veenker,1Story,6,8,1976,1976,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,1,Attchd,1976.0,RFn,2,460,TA,Y,298,0,0,0,0,0,0,5,2007,WD,Normal,181500
3,60,RL,11250,IR1,Lvl,Inside,Gtl,CollgCr,2Story,7,5,2001,2002,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,1,Attchd,2001.0,RFn,2,608,TA,Y,0,42,0,0,0,0,0,9,2008,WD,Normal,223500
4,70,RL,9550,IR1,Lvl,Corner,Gtl,Crawfor,2Story,7,5,1915,1970,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,1,Detchd,1998.0,Unf,3,642,TA,Y,0,35,272,0,0,0,0,2,2006,WD,Abnorml,140000
5,60,RL,14260,IR1,Lvl,FR2,Gtl,NoRidge,2Story,8,5,2000,2000,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,1,Attchd,2000.0,RFn,3,836,TA,Y,192,84,0,0,0,0,0,12,2008,WD,Normal,250000
6,50,RL,14115,IR1,Lvl,Inside,Gtl,Mitchel,1.5Fin,5,5,1993,1995,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,0,Attchd,1993.0,Unf,2,480,TA,Y,40,30,0,320,0,0,700,10,2009,WD,Normal,143000
7,20,RL,10084,Reg,Lvl,Inside,Gtl,Somerst,1Story,8,5,2004,2005,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,1,Attchd,2004.0,RFn,2,636,TA,Y,255,57,0,0,0,0,0,8,2007,WD,Normal,307000
8,60,RL,10382,IR1,Lvl,Corner,Gtl,NWAmes,2Story,7,6,1973,1973,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,2,Attchd,1973.0,RFn,2,484,TA,Y,235,204,228,0,0,0,350,11,2009,WD,Normal,200000
9,50,RM,6120,Reg,Lvl,Inside,Gtl,OldTown,1.5Fin,7,5,1931,1950,BrkFace,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,2,Detchd,1931.0,Unf,2,468,Fa,Y,90,0,205,0,0,0,0,4,2008,WD,Abnorml,129900
10,190,RL,7420,Reg,Lvl,Corner,Gtl,BrkSide,1.5Unf,5,6,1939,1950,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,2,Attchd,1939.0,RFn,1,205,Gd,Y,0,4,0,0,0,0,0,1,2008,WD,Normal,118000
11,20,RL,11200,Reg,Lvl,Inside,Gtl,Sawyer,1Story,5,5,1965,1965,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,0,Detchd,1965.0,Unf,1,384,TA,Y,0,0,0,0,0,0,0,2,2008,WD,Normal,129500
12,60,RL,11924,IR1,Lvl,Inside,Gtl,NridgHt,2Story,9,5,2005,2006,WdShing,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,2,BuiltIn,2005.0,Fin,3,736,TA,Y,147,21,0,0,0,0,0,7,2006,New,Partial,345000
13,20,RL,12968,IR2,Lvl,Inside,Gtl,Sawyer,1Story,5,6,1962,1962,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,0,Detchd,1962.0,Unf,1,352,TA,Y,140,0,0,0,176,0,0,9,2008,WD,Normal,144000
14,20,RL,10652,IR1,Lvl,Inside,Gtl,CollgCr,1Story,7,5,2006,2007,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,1,Attchd,2006.0,RFn,3,840,TA,Y,160,33,0,0,0,0,0,8,2007,New,Partial,279500
15,20,RL,10920,IR1,Lvl,Corner,Gtl,NAmes,1Story,6,5,1960,1960,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,1,Attchd,1960.0,RFn,1,352,TA,Y,0,213,176,0,0,0,0,5,2008,WD,Normal,157000
16,45,RM,6120,Reg,Lvl,Corner,Gtl,BrkSide,1.5Unf,7,8,1929,2001,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,0,Detchd,1991.0,Unf,2,576,TA,Y,48,112,0,0,0,0,0,7,2007,WD,Normal,132000
17,20,RL,11241,IR1,Lvl,CulDSac,Gtl,NAmes,1Story,6,7,1970,1970,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,1,Attchd,1970.0,Fin,2,480,TA,Y,0,0,0,0,0,0,700,3,2010,WD,Normal,149000
18,90,RL,10791,Reg,Lvl,Inside,Gtl,Sawyer,1Story,4,5,1967,1967,MetalSd,None,0.0,TA,TA,Slab,,,,,0,,0,0,0,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,0,CarPort,1967.0,Unf,2,516,TA,Y,0,0,0,0,0,0,500,10,2006,WD,Normal,90000
19,20,RL,13695,Reg,Lvl,Inside,Gtl,SawyerW,1Story,5,5,2004,2004,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,0,Detchd,2004.0,Unf,2,576,TA,Y,0,102,0,0,0,0,0,6,2008,WD,Normal,159000
