Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,5,3,8450,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,11,13,1,196.0,2,3,2,2,3,3,2,706,5,0,150,856,0,0,1,4,856,854,0,1710,1,0,2,1,3,1,2,8,6,0,1,2003.0,1,2,548,4,4,2,0,61,0,0,0,0,0,2,2008,8,4,208500
2,0,3,9600,1,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,7,8,2,0.0,3,3,1,2,3,1,0,978,5,0,284,1262,0,0,1,4,1262,0,0,1262,0,1,2,0,3,1,3,6,6,1,1,1976.0,1,2,460,4,4,2,298,0,0,0,0,0,0,5,2007,8,4,181500
3,5,3,11250,1,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,11,13,1,162.0,2,3,2,2,3,2,2,486,5,0,434,920,0,0,1,4,920,866,0,1786,1,0,2,1,3,1,2,6,6,1,1,2001.0,1,2,608,4,4,2,0,42,0,0,0,0,0,9,2008,8,4,223500
4,6,3,9550,1,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,12,15,2,0.0,3,3,0,3,1,3,0,216,5,0,540,756,0,2,1,4,961,756,0,1717,1,0,1,0,3,1,2,7,6,1,5,1998.0,2,3,642,4,4,2,0,35,272,0,0,0,0,2,2006,8,0,140000
5,5,3,14260,1,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,11,13,1,350.0,2,3,2,2,3,0,2,655,5,0,490,1145,0,0,1,4,1145,1053,0,2198,1,0,2,1,4,1,2,9,6,1,1,2000.0,1,3,836,4,4,2,192,84,0,0,0,0,0,12,2008,8,4,250000
6,4,3,14115,1,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,11,13,2,0.0,3,3,4,2,3,3,2,732,5,0,64,796,0,0,1,4,796,566,0,1362,1,0,1,1,1,1,3,5,6,0,1,1993.0,2,2,480,4,4,2,40,30,0,320,0,0,700,10,2009,8,4,143000
7,0,3,10084,1,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,11,13,3,186.0,2,3,2,0,3,0,2,1369,5,0,317,1686,0,0,1,4,1694,0,0,1694,1,0,2,0,3,1,2,7,6,1,1,2004.0,1,2,636,4,4,2,255,57,0,0,0,0,0,8,2007,8,4,307000
8,5,3,10382,1,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,5,6,3,240.0,3,3,1,2,3,2,0,859,1,32,216,1107,0,0,1,4,1107,983,0,2090,1,0,2,1,3,1,3,7,6,2,1,1973.0,1,2,484,4,4,2,235,204,228,0,0,0,350,11,2009,8,4,200000
9,4,4,6120,1,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,2,15,2,0.0,3,3,0,3,3,3,5,0,5,0,952,952,0,2,1,1,1022,752,0,1774,0,0,2,0,2,2,3,8,2,2,5,1931.0,2,2,468,1,4,2,90,0,205,0,0,0,0,4,2008,8,0,129900
10,14,3,7420,1,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,7,8,2,0.0,3,3,0,3,3,3,2,851,5,0,140,991,0,0,1,4,1077,0,0,1077,1,0,1,0,2,2,3,5,6,2,1,1939.0,1,1,205,2,4,2,0,4,0,0,0,0,0,1,2008,8,4,118000
11,0,3,11200,1,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,1,5,6,2,0.0,3,3,1,3,3,3,4,906,5,0,134,1040,0,0,1,4,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,5,1965.0,2,1,384,4,4,2,0,0,0,0,0,0,0,2,2008,8,4,129500
12,5,3,11924,1,0,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,1,13,15,3,286.0,0,3,2,0,3,3,2,998,5,0,177,1175,0,0,1,4,1182,1142,0,2324,1,0,3,0,4,1,0,11,6,2,3,2005.0,0,3,736,4,4,2,147,21,0,0,0,0,0,7,2006,6,5,345000
13,0,3,12968,1,1,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,1,5,10,2,0.0,3,3,1,3,3,3,0,737,5,0,175,912,0,4,1,4,912,0,0,912,1,0,1,0,2,1,3,4,6,0,5,1962.0,2,1,352,4,4,2,140,0,0,0,176,0,0,9,2008,8,4,144000
14,0,3,10652,1,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,1,11,13,3,306.0,2,3,2,2,3,0,5,0,5,0,1494,1494,0,0,1,4,1494,0,0,1494,0,0,2,0,3,1,2,7,6,1,1,2006.0,1,3,840,4,4,2,160,33,0,0,0,0,0,8,2007,6,5,279500
15,0,3,10920,1,0,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,1,7,8,1,212.0,3,3,1,3,3,3,1,733,5,0,520,1253,0,4,1,4,1253,0,0,1253,1,0,1,1,2,1,3,5,6,1,1,1960.0,1,1,352,4,4,2,0,213,176,0,0,0,0,5,2008,8,4,157000
16,3,4,6120,1,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,1,12,14,2,0.0,3,3,0,3,3,3,5,0,5,0,832,832,0,0,1,0,854,0,0,854,0,0,1,0,2,1,3,5,6,0,5,1991.0,2,2,576,4,4,2,48,112,0,0,0,0,0,7,2007,8,4,132000
17,0,3,11241,1,0,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,1,12,14,1,180.0,3,3,1,3,3,3,0,578,5,0,426,1004,0,0,1,4,1004,0,0,1004,1,0,1,0,2,1,3,5,6,1,1,1970.0,0,2,480,4,4,2,0,0,0,0,0,0,700,3,2010,8,4,149000
19,0,3,13695,1,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,1,11,13,2,0.0,3,3,2,3,3,3,2,646,5,0,468,1114,0,0,1,4,1114,0,0,1114,1,0,1,1,3,1,2,6,6,0,5,2004.0,2,2,576,4,4,2,0,102,0,0,0,0,0,6,2008,8,4,159000
20,0,3,7560,1,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,2,10,2,0.0,3,3,1,3,3,3,3,504,5,0,525,1029,0,4,1,4,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,1,1958.0,2,1,294,4,4,2,0,0,0,0,0,0,0,5,2009,0,0,139000
21,5,3,14215,1,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,11,13,1,380.0,2,3,2,0,3,0,5,0,5,0,1158,1158,0,0,1,4,1158,1218,0,2376,0,0,3,1,4,1,2,9,6,1,3,2005.0,1,3,853,4,4,2,240,154,0,0,0,0,0,11,2006,6,5,325300
22,3,4,7449,1,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,12,14,2,0.0,3,3,2,3,3,3,5,0,5,0,637,637,0,0,1,1,1108,0,0,1108,0,0,1,0,3,1,2,6,6,1,1,1930.0,2,1,280,4,4,0,0,0,205,0,0,0,0,6,2007,8,4,139400
23,0,3,9742,1,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,1,11,13,1,281.0,2,3,2,2,3,3,5,0,5,0,1777,1777,0,0,1,4,1795,0,0,1795,0,0,2,0,3,1,2,7,6,1,1,2002.0,1,2,534,4,4,2,171,159,0,0,0,0,0,9,2008,8,4,230000
24,11,4,4224,1,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,4,5,2,0.0,3,3,2,2,3,3,2,840,5,0,200,1040,0,4,1,4,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,1,1976.0,2,2,572,4,4,2,100,110,0,0,0,0,0,6,2007,8,4,129900
25,0,3,8246,1,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,1,8,10,2,0.0,3,2,1,3,3,2,4,188,0,668,204,1060,0,0,1,4,1060,0,0,1060,1,0,1,0,3,1,2,6,6,1,1,1968.0,2,1,270,4,4,2,406,90,0,0,0,0,0,5,2010,8,4,154000
26,0,3,14230,1,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,1,11,13,3,640.0,2,3,2,2,3,3,5,0,5,0,1566,1566,0,0,1,4,1600,0,0,1600,0,0,2,0,3,1,2,7,6,1,1,2007.0,1,3,890,4,4,2,0,56,0,0,0,0,0,7,2009,8,4,256300
27,0,3,7200,1,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,12,14,2,0.0,3,3,1,3,3,2,1,234,4,486,180,900,0,4,1,4,900,0,0,900,0,1,1,0,3,1,2,5,6,0,5,2005.0,2,2,576,4,4,2,222,32,0,0,0,0,0,5,2010,8,4,134800
28,0,3,11478,1,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,11,13,3,200.0,2,3,2,0,3,3,2,1218,5,0,486,1704,0,0,1,4,1704,0,0,1704,1,0,2,0,3,1,2,7,6,1,1,2008.0,1,3,772,4,4,2,0,50,0,0,0,0,0,5,2010,8,4,306000
29,0,3,16321,1,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,1,7,8,2,0.0,3,3,1,3,3,1,1,1277,5,0,207,1484,0,4,1,4,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,1,1957.0,1,1,319,4,4,2,288,258,0,0,0,0,0,12,2006,8,4,207500
30,1,4,6324,1,0,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,1,7,8,2,0.0,3,3,0,3,3,3,5,0,5,0,520,520,0,1,0,4,520,0,0,520,0,0,1,0,1,1,1,4,6,0,5,1920.0,2,1,240,1,4,2,49,0,87,0,0,0,0,5,2008,8,4,68500
31,6,0,8500,1,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,1,2,3,2,0.0,3,1,0,3,3,3,5,0,5,0,649,649,0,4,0,4,649,668,0,1317,0,0,1,0,3,1,3,6,6,0,5,1920.0,2,1,250,4,1,0,0,54,172,0,0,0,0,7,2008,8,4,40000
32,0,3,8544,1,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,5,6,2,0.0,3,3,1,3,3,3,5,0,5,0,1228,1228,0,2,1,4,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,1,1966.0,2,1,271,4,4,2,0,65,0,0,0,0,0,6,2008,8,4,149350
33,0,3,11049,1,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,11,13,2,0.0,2,3,2,0,3,0,5,0,5,0,1234,1234,0,0,1,4,1234,0,0,1234,0,0,2,0,3,1,2,7,6,0,1,2007.0,1,2,484,4,4,2,0,30,0,0,0,0,0,1,2008,8,4,179900
34,0,3,10552,1,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,1,2,3,2,0.0,3,3,1,3,3,3,4,1018,5,0,380,1398,0,2,1,4,1700,0,0,1700,0,1,1,1,4,1,2,6,6,1,1,1959.0,1,2,447,4,4,2,0,38,0,0,0,0,0,4,2010,8,4,165500
35,11,3,7313,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,7,8,1,246.0,0,3,2,0,3,3,2,1153,5,0,408,1561,0,0,1,4,1561,0,0,1561,1,0,2,0,2,1,0,6,6,1,1,2005.0,0,2,556,4,4,2,203,47,0,0,0,0,0,8,2007,8,4,277500
36,5,3,13418,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,11,13,3,132.0,2,3,2,0,3,0,5,0,5,0,1117,1117,0,0,1,4,1132,1320,0,2452,0,0,3,1,4,1,2,9,6,1,3,2004.0,0,3,691,4,4,2,113,32,0,0,0,0,0,9,2006,8,4,309000
37,0,3,10859,1,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,1,11,13,2,0.0,3,3,2,2,3,3,5,0,5,0,1097,1097,0,0,1,4,1097,0,0,1097,0,0,1,1,3,1,3,6,6,0,1,1995.0,2,2,672,4,4,2,392,64,0,0,0,0,0,6,2009,8,4,145000
38,0,3,8532,1,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,1,12,14,1,650.0,3,3,1,3,3,3,4,1213,5,0,84,1297,0,2,1,4,1297,0,0,1297,0,1,1,0,3,1,3,5,6,1,1,1954.0,0,2,498,4,4,2,0,0,0,0,0,0,0,10,2009,8,4,153000
39,0,3,7922,1,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,11,13,2,0.0,3,2,1,3,3,3,2,731,5,0,326,1057,0,4,1,4,1057,0,0,1057,1,0,1,0,3,1,2,5,6,0,5,1953.0,2,1,246,4,4,2,0,52,0,0,0,0,0,1,2010,8,0,109000
41,0,3,8658,1,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,1,12,14,1,101.0,3,3,1,3,3,3,4,643,5,0,445,1088,0,0,1,4,1324,0,0,1324,0,0,2,0,3,1,3,6,6,1,1,1965.0,1,2,440,4,4,2,0,138,0,0,0,0,0,12,2006,8,0,160000
42,0,3,16905,1,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,1,11,13,2,0.0,3,2,1,3,3,1,1,967,5,0,383,1350,0,2,1,4,1328,0,0,1328,0,1,1,1,2,1,3,5,6,2,1,1959.0,1,1,308,4,4,1,0,104,0,0,0,0,0,7,2007,8,4,170000
43,9,3,9180,1,0,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,1,5,6,2,0.0,3,3,1,2,3,0,0,747,3,93,0,840,0,2,1,4,884,0,0,884,1,0,1,0,2,1,2,5,6,0,1,1983.0,1,2,504,4,2,2,240,0,0,0,0,0,0,12,2007,8,4,144000
44,0,3,9200,1,0,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,1,11,13,2,0.0,3,3,1,2,3,0,3,280,1,491,167,938,0,4,1,4,938,0,0,938,1,0,1,0,3,1,3,5,6,0,5,1977.0,2,1,308,4,4,2,145,0,0,0,0,0,0,7,2008,8,4,130250
45,0,3,7945,1,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,1,2,14,2,0.0,3,3,1,3,3,3,0,179,1,506,465,1150,0,0,1,0,1150,0,0,1150,1,0,1,0,3,1,3,6,6,0,1,1959.0,1,1,300,4,4,2,0,0,0,0,0,0,0,5,2006,8,4,141000
46,11,3,7658,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,7,8,1,412.0,0,3,2,0,3,3,2,456,5,0,1296,1752,0,0,1,4,1752,0,0,1752,1,0,2,0,2,1,0,6,6,1,1,2005.0,1,2,576,4,4,2,196,82,0,0,0,0,0,2,2010,8,4,319900
47,4,3,12822,1,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,1,11,13,2,0.0,2,3,2,0,3,3,2,1351,5,0,83,1434,0,0,1,4,1518,631,0,2149,1,0,1,1,1,1,2,6,6,1,1,2003.0,1,2,670,4,4,2,168,43,0,0,198,0,0,8,2009,8,0,239686
48,0,1,11096,1,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,1,11,13,2,0.0,2,3,2,2,3,0,2,24,5,0,1632,1656,0,0,1,4,1656,0,0,1656,0,0,2,0,3,1,2,7,6,0,1,2006.0,1,3,826,4,4,2,0,146,0,0,0,0,0,7,2007,8,4,249700
50,0,3,7742,1,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,5,6,2,0.0,3,3,1,3,3,3,1,763,5,0,192,955,0,0,1,4,955,0,0,955,1,0,1,0,3,1,3,6,6,0,1,1966.0,2,1,386,4,4,2,0,0,0,0,0,0,0,1,2007,8,4,127000
