Id,MSSubClass,MSZoning,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,SaleType,SaleCondition,SalePrice
1,60,RL,Reg,Lvl,Inside,Gtl,CollgCr,2Story,7,2003,2003,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,856,Ex,Y,SBrkr,856,854,1710,1,2,1,3,Gd,8,0,Attchd,2003.0,RFn,2,TA,Y,0,61,WD,Normal,208500
2,20,RL,Reg,Lvl,FR2,Gtl,Veenker,1Story,6,1976,1976,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,1262,Ex,Y,SBrkr,1262,0,1262,0,2,0,3,TA,6,1,Attchd,1976.0,RFn,2,TA,Y,298,0,WD,Normal,181500
3,60,RL,IR1,Lvl,Inside,Gtl,CollgCr,2Story,7,2001,2002,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,920,Ex,Y,SBrkr,920,866,1786,1,2,1,3,Gd,6,1,Attchd,2001.0,RFn,2,TA,Y,0,42,WD,Normal,223500
4,70,RL,IR1,Lvl,Corner,Gtl,Crawfor,2Story,7,1915,1970,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,756,Gd,Y,SBrkr,961,756,1717,1,1,0,3,Gd,7,1,Detchd,1998.0,Unf,3,TA,Y,0,35,WD,Abnorml,140000
5,60,RL,IR1,Lvl,FR2,Gtl,NoRidge,2Story,8,2000,2000,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1145,Ex,Y,SBrkr,1145,1053,2198,1,2,1,4,Gd,9,1,Attchd,2000.0,RFn,3,TA,Y,192,84,WD,Normal,250000
6,50,RL,IR1,Lvl,Inside,Gtl,Mitchel,1.5Fin,5,1993,1995,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,Unf,796,Ex,Y,SBrkr,796,566,1362,1,1,1,1,TA,5,0,Attchd,1993.0,Unf,2,TA,Y,40,30,WD,Normal,143000
7,20,RL,Reg,Lvl,Inside,Gtl,Somerst,1Story,8,2004,2005,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,1686,Ex,Y,SBrkr,1694,0,1694,1,2,0,3,Gd,7,1,Attchd,2004.0,RFn,2,TA,Y,255,57,WD,Normal,307000
8,60,RL,IR1,Lvl,Corner,Gtl,NWAmes,2Story,7,1973,1973,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,1107,Ex,Y,SBrkr,1107,983,2090,1,2,1,3,TA,7,2,Attchd,1973.0,RFn,2,TA,Y,235,204,WD,Normal,200000
9,50,RM,Reg,Lvl,Inside,Gtl,OldTown,1.5Fin,7,1931,1950,BrkFace,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,952,Gd,Y,FuseF,1022,752,1774,0,2,0,2,TA,8,2,Detchd,1931.0,Unf,2,Fa,Y,90,0,WD,Abnorml,129900
10,190,RL,Reg,Lvl,Corner,Gtl,BrkSide,1.5Unf,5,1939,1950,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,991,Ex,Y,SBrkr,1077,0,1077,1,1,0,2,TA,5,2,Attchd,1939.0,RFn,1,Gd,Y,0,4,WD,Normal,118000
11,20,RL,Reg,Lvl,Inside,Gtl,Sawyer,1Story,5,1965,1965,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1040,Ex,Y,SBrkr,1040,0,1040,1,1,0,3,TA,5,0,Detchd,1965.0,Unf,1,TA,Y,0,0,WD,Normal,129500
12,60,RL,IR1,Lvl,Inside,Gtl,NridgHt,2Story,9,2005,2006,WdShing,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1175,Ex,Y,SBrkr,1182,1142,2324,1,3,0,4,Ex,11,2,BuiltIn,2005.0,Fin,3,TA,Y,147,21,New,Partial,345000
13,20,RL,IR2,Lvl,Inside,Gtl,Sawyer,1Story,5,1962,1962,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,912,TA,Y,SBrkr,912,0,912,1,1,0,2,TA,4,0,Detchd,1962.0,Unf,1,TA,Y,140,0,WD,Normal,144000
14,20,RL,IR1,Lvl,Inside,Gtl,CollgCr,1Story,7,2006,2007,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1494,Ex,Y,SBrkr,1494,0,1494,0,2,0,3,Gd,7,1,Attchd,2006.0,RFn,3,TA,Y,160,33,New,Partial,279500
15,20,RL,IR1,Lvl,Corner,Gtl,NAmes,1Story,6,1960,1960,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,1253,TA,Y,SBrkr,1253,0,1253,1,1,1,2,TA,5,1,Attchd,1960.0,RFn,1,TA,Y,0,213,WD,Normal,157000
16,45,RM,Reg,Lvl,Corner,Gtl,BrkSide,1.5Unf,7,1929,2001,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,832,Ex,Y,FuseA,854,0,854,0,1,0,2,TA,5,0,Detchd,1991.0,Unf,2,TA,Y,48,112,WD,Normal,132000
17,20,RL,IR1,Lvl,CulDSac,Gtl,NAmes,1Story,6,1970,1970,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1004,Ex,Y,SBrkr,1004,0,1004,1,1,0,2,TA,5,1,Attchd,1970.0,Fin,2,TA,Y,0,0,WD,Normal,149000
18,90,RL,Reg,Lvl,Inside,Gtl,Sawyer,1Story,4,1967,1967,MetalSd,None,0.0,TA,TA,Slab,,,,,,0,TA,Y,SBrkr,1296,0,1296,0,2,0,2,TA,6,0,CarPort,1967.0,Unf,2,TA,Y,0,0,WD,Normal,90000
19,20,RL,Reg,Lvl,Inside,Gtl,SawyerW,1Story,5,2004,2004,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,1114,Ex,Y,SBrkr,1114,0,1114,1,1,1,3,Gd,6,0,Detchd,2004.0,Unf,2,TA,Y,0,102,WD,Normal,159000
20,20,RL,Reg,Lvl,Inside,Gtl,NAmes,1Story,5,1958,1965,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,1029,TA,Y,SBrkr,1339,0,1339,0,1,0,3,TA,6,0,Attchd,1958.0,Unf,1,TA,Y,0,0,COD,Abnorml,139000
21,60,RL,IR1,Lvl,Corner,Gtl,NridgHt,2Story,8,2005,2006,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1158,Ex,Y,SBrkr,1158,1218,2376,0,3,1,4,Gd,9,1,BuiltIn,2005.0,RFn,3,TA,Y,240,154,New,Partial,325300
22,45,RM,Reg,Bnk,Inside,Gtl,IDOTRR,1.5Unf,7,1930,1950,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,637,Ex,Y,FuseF,1108,0,1108,0,1,0,3,Gd,6,1,Attchd,1930.0,Unf,1,TA,N,0,0,WD,Normal,139400
23,20,RL,Reg,Lvl,Inside,Gtl,CollgCr,1Story,8,2002,2002,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1777,Ex,Y,SBrkr,1795,0,1795,0,2,0,3,Gd,7,1,Attchd,2002.0,RFn,2,TA,Y,171,159,WD,Normal,230000
24,120,RM,Reg,Lvl,Inside,Gtl,MeadowV,1Story,5,1976,1976,CemntBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,1040,TA,Y,SBrkr,1060,0,1060,1,1,0,3,TA,6,1,Attchd,1976.0,Unf,2,TA,Y,100,110,WD,Normal,129900
25,20,RL,IR1,Lvl,Inside,Gtl,Sawyer,1Story,5,1968,2001,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,1060,Ex,Y,SBrkr,1060,0,1060,1,1,0,3,Gd,6,1,Attchd,1968.0,Unf,1,TA,Y,406,90,WD,Normal,154000
26,20,RL,Reg,Lvl,Corner,Gtl,NridgHt,1Story,8,2007,2007,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1566,Ex,Y,SBrkr,1600,0,1600,0,2,0,3,Gd,7,1,Attchd,2007.0,RFn,3,TA,Y,0,56,WD,Normal,256300
27,20,RL,Reg,Lvl,Corner,Gtl,NAmes,1Story,5,1951,2000,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,900,TA,Y,SBrkr,900,0,900,0,1,0,3,Gd,5,0,Detchd,2005.0,Unf,2,TA,Y,222,32,WD,Normal,134800
28,20,RL,Reg,Lvl,Inside,Gtl,NridgHt,1Story,8,2007,2008,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1704,Ex,Y,SBrkr,1704,0,1704,1,2,0,3,Gd,7,1,Attchd,2008.0,RFn,3,TA,Y,0,50,WD,Normal,306000
29,20,RL,IR1,Lvl,CulDSac,Gtl,NAmes,1Story,5,1957,1997,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,1484,TA,Y,SBrkr,1600,0,1600,1,1,0,2,TA,6,2,Attchd,1957.0,RFn,1,TA,Y,288,258,WD,Normal,207500
30,30,RM,IR1,Lvl,Inside,Gtl,BrkSide,1Story,4,1927,1950,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,520,Fa,N,SBrkr,520,0,520,0,1,0,1,Fa,4,0,Detchd,1920.0,Unf,1,Fa,Y,49,0,WD,Normal,68500
